Series_Title,Released_Year,Meta_score,Gross,Certificate
Brief Encounter,1945,92.0,,U
Laura,1944,,4360000.0,Passed
Arsenic and Old Lace,1942,,,
The Maltese Falcon,1941,96.0,2108060.0,Approved
La règle du jeu,1939,,,
The Thin Man,1934,86.0,,TV-PG
Bronenosets Potemkin,1925,97.0,50970.0,
Dil Bechara,2020,,,UA
Bir Zamanlar Anadolu'da,2011,82.0,138730.0,
Jab We Met,2007,,410800.0,U
"4 luni, 3 saptamâni si 2 zile",2007,97.0,1185783.0,
The Man from Earth,2007,,,Not Rated
C.R.A.Z.Y.,2005,81.0,,Not Rated
Gegen die Wand,2004,78.0,,R
Mimi wo sumaseba,1995,75.0,,U
Jûbê ninpûchô,1993,,,A
Amarcord,1973,,125493.0,R
"Aguirre, der Zorn Gottes",1972,,,
Harold and Maude,1971,62.0,,PG
Night of the Living Dead,1968,89.0,89029.0,R
The Lion in Winter,1968,,22276975.0,PG
The Manchurian Candidate,1962,94.0,2757256.0,PG-13
L'avventura,1960,,,U
Hiroshima mon amour,1959,,88300.0,Not Rated
The Ten Commandments,1956,,93740000.0,U
The Searchers,1956,94.0,,Passed
East of Eden,1955,72.0,,U
Harvey,1950,79.0,,Approved
Miracle on 34th Street,1947,88.0,2650000.0,Approved
The Big Sleep,1946,86.0,6540000.0,Passed
The Lost Weekend,1945,,9460000.0,Passed
The Philadelphia Story,1940,96.0,404524.0,Approved
His Girl Friday,1940,,296000.0,Passed
A Night at the Opera,1935,,2537520.0,Passed
Freaks,1932,80.0,,Not Rated
Nosferatu,1922,,,Not Rated
The Gentlemen,2019,51.0,36471795.0,A
Raazi,2018,,,UA
Sound of Metal,2019,81.0,,R
Perfetti sconosciuti,2016,,,
Udta Punjab,2016,,,A
M.S. Dhoni: The Untold Story,2016,,1782795.0,U
Pride,2014,79.0,1446634.0,R
La grande bellezza,2013,86.0,2852400.0,
Vicky Donor,2012,,169209.0,UA
English Vinglish,2012,,1670773.0,U
Kokuhaku,2010,,,
Ang-ma-reul bo-at-da,2010,67.0,128392.0,
Ajeossi,2010,,6460.0,R
Chugyeokja,2008,64.0,,
The Trial of the Chicago 7,2020,77.0,,R
Druk,2020,81.0,,
Auf der anderen Seite,2007,85.0,741283.0,
Ondskan,2003,61.0,15280.0,
Gongdong gyeongbi guyeok JSA,2000,58.0,,
Hana-bi,1997,,233986.0,
Naked,1993,84.0,1769305.0,Not Rated
Batman: Mask of the Phantasm,1993,65.0,5617391.0,PG
Lat sau san taam,1992,,,R
Majo no takkyûbin,1989,83.0,,U
Dip huet seung hung,1989,82.0,,R
Days of Heaven,1978,93.0,3446749.0,PG
The Man Who Would Be King,1975,91.0,,PG
Badlands,1973,93.0,,PG
Wait Until Dark,1967,81.0,17550741.0,Approved
Guess Who's Coming to Dinner,1967,63.0,56700000.0,Approved
Bonnie and Clyde,1967,86.0,,A
Jules et Jim,1962,97.0,,
À bout de souffle,1960,,336705.0,U
Red River,1948,96.0,,Passed
Key Largo,1948,74.0,7017420.0,Approved
To Have and Have Not,1944,90.0,,PG
Shadow of a Doubt,1943,94.0,,PG
Stagecoach,1939,93.0,,Passed
The Lady Vanishes,1938,98.0,,Approved
Bringing Up Baby,1938,91.0,,Passed
Bride of Frankenstein,1935,95.0,4360000.0,Approved
Duck Soup,1933,93.0,,Approved
Scarface: The Shame of the Nation,1932,87.0,,PG
Frankenstein,1931,91.0,,Passed
Roma,2018,96.0,,R
God's Own Country,2017,85.0,335609.0,Not Rated
The Broken Circle Breakdown,2012,70.0,175058.0,Not Rated
Rockstar,2011,,985912.0,UA
Detachment,2011,52.0,71177.0,Not Rated
Beasts of No Nation,2015,79.0,83861.0,TV-MA
Toki o kakeru shôjo,2006,,,U
Death Note: Desu nôto,2006,,,
This Is England,2006,86.0,327919.0,Not Rated
Interstate 60: Episodes of the Road,2002,,,R
Happiness,1998,81.0,2807390.0,NC-17
Abre los ojos,1997,,368234.0,U
Hamlet,1996,,4414535.0,PG-13
Do lok tin si,1995,71.0,,UA
Kurenai no buta,1992,83.0,,U
Spoorloos,1988,,,
Zelig,1983,,11798616.0,PG
Rupan sansei: Kariosutoro no shiro,1979,71.0,,U
Love and Death,1975,89.0,20123742.0,PG
The Taking of Pelham One Two Three,1974,68.0,,U
Where Eagles Dare,1968,63.0,7100000.0,U
The Dirty Dozen,1967,73.0,45300000.0,Approved
Belle de jour,1967,,26331.0,A
Repulsion,1965,91.0,,Not Rated
Zulu,1964,77.0,,U
Cape Fear,1962,76.0,,Passed
Peeping Tom,1960,,83957.0,Not Rated
Les yeux sans visage,1960,90.0,52709.0,
Invasion of the Body Snatchers,1956,92.0,,Approved
Rebel Without a Cause,1955,89.0,212780.0,PG-13
The Ladykillers,1955,91.0,23213.0,Not Rated
Sabrina,1954,72.0,,Passed
The Quiet Man,1952,85.0,10550000.0,Passed
The Day the Earth Stood Still,1951,83.0,,U
Gilda,1946,,,Approved
The Invisible Man,1933,87.0,,TV-PG
Dark Waters,2019,73.0,11136084.0,PG-13
Just Mercy,2019,68.0,36001502.0,A
Victoria,2015,77.0,,Not Rated
El cuerpo,2012,,,
Celda 211,2009,,,
Die Welle,2008,,,
The Secret of Kells,2009,81.0,686383.0,Not Rated
Dead Man's Shoes,2004,52.0,6013.0,Not Rated
Batoru rowaiaru,2000,81.0,,
Funny Games,1997,69.0,,A
Watership Down,1978,64.0,,U
Blowup,1966,82.0,,A
Breakfast at Tiffany's,1961,76.0,,A
Giant,1956,84.0,32855818.0,G
Lifeboat,1944,78.0,,Approved
The 39 Steps,1935,93.0,,Approved
